T_C,P_kb,rho_model_gcm3,rho_truth_gcm3,drho_gcm3,eps_model,eps_truth,deps,G0_H2O_model_cal,G0_H2O_truth_cal,dG0_H2O_cal,G0_CO2_model_cal,G0_CO2_truth_cal,dG0_CO2_cal,G0_H+_model_cal,G0_H+_truth_cal,dG0_H+_cal,G0_HCO3-_model_cal,G0_HCO3-_truth_cal,dG0_HCO3-_cal,DeltaGro_model_cal,DeltaGro_truth_cal,dDeltaGro_cal,logK_model,logK_truth,dlogK,V0_H2O_model_cm3,V0_H2O_truth_cm3,dV0_H2O_cm3,V0_CO2_model_cm3,V0_CO2_truth_cm3,dV0_CO2_cm3,V0_H+_model_cm3,V0_H+_truth_cm3,dV0_H+_cm3,V0_HCO3-_model_cm3,V0_HCO3-_truth_cm3,dV0_HCO3-_cm3,DeltaVr_model_cm3,DeltaVr_truth_cm3,dDeltaVr_cm3
450,20,1.18373,1.18373,-3.72528e-08,33.2999,33.2999,-1.56167e-06,-58872.4,-58870.4,-2.01308,-94326.4,-94328.2,1.84985,0,0,0,-137751,-137748,-2.94427,15448.1,15450.8,-2.78104,-4.66861,-4.67257,0.0039603,15.2189,15.2191,-0.000236062,30.7712,30.7712,2.09324e-07,0,0,0,30.4222,30.4222,-3.33165e-07,-15.5678,-15.5681,0.000235519
500,20,1.1655,1.1655,3.72528e-08,29.9481,29.9481,1.42581e-06,-60279.9,-60277.7,-2.24446,-96559.5,-96561.2,1.72107,0,0,0,-139302,-139299,-2.7393,17537.5,17539.7,-2.21591,-4.95731,-4.96125,0.00393895,15.4569,15.4571,-0.000240735,30.8905,30.8905,-2.37425e-07,0,0,0,30.2176,30.2176,3.77891e-07,-16.1299,-16.1301,0.00024135
550,20,1.14749,1.14749,-1.86264e-08,27.0219,27.0219,-6.51371e-07,-61727.7,-61725.1,-2.57626,-98841.3,-98842.9,1.59186,0,0,0,-140857,-140855,-2.53364,19711.7,19713.3,-1.54923,-5.23344,-5.23735,0.00390825,15.6995,15.6997,-0.000243756,31.0202,31.0202,1.33724e-07,0,0,0,29.999,29.999,-2.12838e-07,-16.7208,-16.721,0.00024341
600,20,1.12974,1.12974,-5.58791e-08,24.4563,24.4563,-1.78692e-06,-63213.2,-63210.2,-2.96679,-101171,-101173,1.46267,0,0,0,-142413,-142411,-2.32802,21971.2,21972,-0.823911,-5.49929,-5.50317,0.00388064,15.9461,15.9463,-0.000247055,31.1597,31.1597,4.49169e-07,0,0,0,29.7666,29.7666,-7.14909e-07,-17.3392,-17.3395,0.000245891
650,20,1.11231,1.11231,-1.11022e-15,22.1986,22.1986,-4.61853e-14,-64739.9,-64736.6,-3.34856,-103548,-103549,1.33389,0,0,0,-143966,-143964,-2.12306,24322.1,24322.2,-0.108386,-5.75798,-5.76185,0.0038728,16.1961,16.1963,-0.000251729,31.3086,31.3086,-5.68434e-14,0,0,0,29.5208,29.5208,3.19744e-14,-17.9839,-17.9842,0.000251729
700,20,1.09521,1.09521,3.33067e-15,20.2056,20.2056,-3.55271e-15,-66310.5,-66306.8,-3.70299,-105971,-105973,1.20488,0,0,0,-145513,-145511,-1.91771,26769.2,26768.6,0.580405,-6.01169,-6.01558,0.0038862,16.449,16.4492,-0.00025566,31.4664,31.4664,-3.90799e-14,0,0,0,29.2619,29.2619,3.55271e-14,-18.6535,-18.6537,0.00025566
750,20,1.07847,1.07847,3.72528e-08,18.4412,18.4412,9.15791e-07,-67924.2,-67920.2,-4.03322,-108441,-108442,1.07607,0,0,0,-147051,-147049,-1.71271,29313.7,29312.5,1.24445,-6.26142,-6.26534,0.0039175,16.7042,16.7045,-0.000260204,31.6327,31.6327,-4.07428e-07,0,0,0,28.9906,28.9906,6.48472e-07,-19.3463,-19.3466,0.00026126
800,20,1.06212,1.06212,3.10862e-15,16.875,16.875,-4.26326e-14,-69578.2,-69573.8,-4.34464,-110955,-110956,0.946841,0,0,0,-148579,-148577,-1.50702,31954.3,31952.4,1.89079,-6.50744,-6.51141,0.00396255,16.9614,16.9616,-0.000263624,31.8068,31.8068,-3.19744e-14,0,0,0,28.7075,28.7075,-2.84217e-14,-20.0607,-20.0609,0.000263624
850,20,1.04617,1.04617,7.45055e-08,15.4813,15.4813,1.54409e-06,-71267.9,-71263.2,-4.64143,-113514,-113514,0.818338,0,0,0,-150094,-150093,-1.30249,34687.6,34685,2.5206,-6.7496,-6.75362,0.00401886,17.22,17.2203,-0.00026887,31.9882,31.9882,-9.78015e-07,0,0,0,28.4136,28.4136,1.55663e-06,-20.7946,-20.7949,0.000271405
900,20,1.03062,1.03062,9.31319e-08,14.2382,14.2382,1.77456e-06,-72987.6,-72982.6,-4.9266,-116116,-116117,0.689506,0,0,0,-151595,-151594,-1.09743,37508.8,37505.6,3.13966,-6.98749,-6.99157,0.00408332,17.4798,17.4801,-0.000273262,32.1761,32.1761,-1.33096e-06,0,0,0,28.1099,28.1099,2.11839e-06,-21.5461,-21.5464,0.000276711
